dataset,sample,strain,background,Ede1,band raw,hog1 raw,ratio,ratio_norm
1,1,MKY0172,wt,FL,1042.083,7834.305,0.133015373,1
1,2,MKY4083,wt,1-590,3815.397,9062.134,0.421026328,3.165245633
1,3,MKY3546,wt,1-900,1421.355,9461.891,0.150218915,1.129334992
1,4,MKY3548,wt,366-1381,2912.648,11169.134,0.260776529,1.960499181
1,5,MKY3550,wt,591-1381,4100.012,12525.841,0.327324289,2.460800449
1,6,MKY3552,wt,366-900,1698.548,12502.255,0.135859331,1.021380673
1,7,MKY3554,wt,591-900,1514.548,14018.669,0.108037931,0.812221393
1,8,MKY0532,3×ΔEA,FL,3085.134,11970.669,0.257724443,1.937553815
1,9,MKY3519,3×ΔEA,1-590,7443.569,17346.134,0.429119768,3.226091535
1,10,MKY3547,3×ΔEA,1-900,3956.255,12300.548,0.321632418,2.418009375
1,11,MKY3549,3×ΔEA,366-1381,3480.477,10007.426,0.347789432,2.614655918
1,12,MKY3551,3×ΔEA,591-1381,2888.477,11714.305,0.246576899,1.853747381
1,13,MKY3553,3×ΔEA,366-900,3630.255,12049.426,0.301280327,2.265003813
1,14,MKY3555,3×ΔEA,591-900,1948.669,14930.205,0.13051857,0.981229213
2,1,MKY0172,wt,FL,644.991,6982.962,0.092366391,1
2,2,MKY4083,wt,1-590,2688.962,9443.548,0.28474065,3.082730057
2,3,MKY3546,wt,1-900,1747.719,11678.134,0.149657385,1.620258011
2,4,MKY3548,wt,366-1381,3066.376,10072.426,0.304432716,3.295925191
2,5,MKY3550,wt,591-1381,3498.062,8085.305,0.432644409,4.684002513
2,6,MKY3552,wt,366-900,2178.012,9961.426,0.2186446,2.367144551
2,7,MKY3554,wt,591-900,835.234,9949.426,0.083947958,0.908858269
2,8,MKY0532,3×ΔEA,FL,5940.648,9373.426,0.633775527,6.861538253
2,9,MKY3519,3×ΔEA,1-590,3223.426,9744.477,0.330795178,3.581337034
2,10,MKY3547,3×ΔEA,1-900,3562.841,9142.719,0.389691622,4.218976374
2,11,MKY3549,3×ΔEA,366-1381,5899.134,12071.719,0.4886739,5.290602926
2,12,MKY3551,3×ΔEA,591-1381,5653.619,11201.012,0.504741804,5.464561265
2,13,MKY3553,3×ΔEA,366-900,2440.083,11331.548,0.215335363,2.331317268
2,14,MKY3555,3×ΔEA,591-900,1027.77,9825.962,0.104597392,1.132418304
3,1,MKY0532,3×ΔEA,FL,1072.961941,7623.539105,0.140743285,1.264233802
3,2,MKY3519,3×ΔEA,1-590,5627.133514,5454.468037,1.031655787,9.266901174
3,3,MKY3547,3×ΔEA,1-900,6386.890873,9728.367532,0.656522366,5.897245929
3,4,MKY3549,3×ΔEA,366-1381,3396.59798,8325.953319,0.407953041,3.664459181
3,5,MKY3551,3×ΔEA,591-1381,3384.476659,9344.903066,0.362173544,3.253242488
3,6,MKY3553,3×ΔEA,366-900,4347.012193,10297.24621,0.422152885,3.792010004
3,7,MKY3555,3×ΔEA,591-900,2691.012193,10508.78175,0.256072707,2.300186267
3,8,MKY0172,wt,FL,1066.284271,9577.953319,0.111326944,1
3,9,MKY4083,wt,1-590,4390.84062,9460.074639,0.464144395,4.169200905
3,10,MKY3546,wt,1-900,3353.133514,15586.55992,0.2151298,1.932414493
3,11,MKY3548,wt,366-1381,3756.84062,13130.02439,0.286125944,2.57014101
3,12,MKY3550,wt,591-1381,1362.59798,10686.07464,0.127511554,1.14537909
3,13,MKY3552,wt,366-900,5527.154329,11962.31728,0.462047127,4.150362085
3,14,MKY3554,wt,591-900,2398.083261,9460.559921,0.25348217,2.276916635