Cell,Threshold,Patches,Cross_Area
20210531_MKY0140_01_Cell01_GFP,yen,28,2963
20210531_MKY0140_01_Cell02_GFP,yen,36,3271
20210531_MKY0140_01_Cell03_GFP,yen,29,2466
20210531_MKY0140_02_Cell01_GFP,yen,28,2824
20210531_MKY0140_02_Cell02_GFP,yen,31,3056
20210531_MKY0140_02_Cell03_GFP,yen,21,3071
20210531_MKY0140_02_Cell04_GFP,yen,24,3816
20210531_MKY0140_03_Cell01_GFP,yen,26,3203
20210531_MKY0140_03_Cell02_GFP,yen,30,2923
20210531_MKY0140_03_Cell03_GFP,yen,30,2828
20210531_MKY0140_03_Cell04_GFP,yen,23,3250
20210531_MKY0140_04_Cell01_GFP,yen,29,2992
20210531_MKY0140_04_Cell02_GFP,yen,29,2753
20210531_MKY0140_04_Cell03_GFP,yen,35,3172
20210531_MKY0140_04_Cell04_GFP,yen,22,3108
20210531_MKY0140_04_Cell05_GFP,yen,27,3646
20210531_MKY0140_04_Cell06_GFP,yen,32,3323
20210531_MKY0140_05_Cell01_GFP,yen,29,2756
20210531_MKY0140_05_Cell02_GFP,yen,26,3210
20210531_MKY0140_05_Cell03_GFP,yen,35,3794
20210531_MKY0140_06_Cell01_GFP,yen,28,3548
20210531_MKY0140_06_Cell02_GFP,yen,23,3203
20210531_MKY0140_06_Cell03_GFP,yen,30,2980
20210531_MKY0140_07_Cell01_GFP,yen,32,3511
20210531_MKY0140_07_Cell02_GFP,yen,27,4849
20210531_MKY0140_07_Cell03_GFP,yen,44,3609
20210531_MKY0140_08_Cell01_GFP,yen,26,2728
20210531_MKY0140_08_Cell02_GFP,yen,36,3146
20210531_MKY0140_08_Cell03_GFP,yen,33,3524
20210531_MKY0140_08_Cell04_GFP,yen,38,3414
20210531_MKY0140_09_Cell01_GFP,yen,26,2655
20210531_MKY0140_09_Cell02_GFP,yen,35,3284
20210531_MKY0140_09_Cell03_GFP,yen,33,2817
20210531_MKY0140_10_Cell01_GFP,yen,31,2546
20210531_MKY0140_10_Cell02_GFP,yen,34,4231
20210531_MKY0140_10_Cell03_GFP,yen,32,3575
20210531_MKY0140_10_Cell04_GFP,yen,0,4606
20210531_MKY0140_10_Cell05_GFP,yen,33,3545
20210531_MKY0140_11_Cell01_GFP,yen,37,3498
20210531_MKY0140_11_Cell02_GFP,yen,32,3423
20210531_MKY0140_11_Cell03_GFP,yen,31,3641
20210531_MKY0140_12_Cell01_GFP,yen,30,3665
20210531_MKY0140_12_Cell02_GFP,yen,29,2655
20210531_MKY0140_12_Cell03_GFP,yen,35,3448
20210531_MKY0140_13_Cell01_GFP,yen,38,3599
20210531_MKY0140_13_Cell02_GFP,yen,36,3097
20210531_MKY0140_13_Cell03_GFP,yen,27,3847
20210531_MKY0140_14_Cell01_GFP,yen,30,2814
20210531_MKY0140_14_Cell02_GFP,yen,30,3350
20210531_MKY0140_14_Cell03_GFP,yen,41,2719
20210531_MKY0140_14_Cell04_GFP,yen,31,3238
20210531_MKY0140_15_Cell01_GFP,yen,27,2627
20210531_MKY0140_15_Cell02_GFP,yen,28,3098
20210531_MKY0140_15_Cell03_GFP,yen,29,2857
20210531_MKY0140_15_Cell04_GFP,yen,29,2800
20210531_MKY0654_01_Cell01_GFP,yen,17,2895
20210531_MKY0654_01_Cell02_GFP,yen,10,1614
20210531_MKY0654_01_Cell03_GFP,yen,22,5175
20210531_MKY0654_02_Cell01_GFP,yen,17,2993
20210531_MKY0654_02_Cell02_GFP,yen,18,2197
20210531_MKY0654_02_Cell03_GFP,yen,17,2773
20210531_MKY0654_03_Cell01_GFP,yen,19,4465
20210531_MKY0654_03_Cell02_GFP,yen,7,2639
20210531_MKY0654_03_Cell03_GFP,yen,26,5585
20210531_MKY0654_04_Cell01_GFP,yen,15,4121
20210531_MKY0654_04_Cell02_GFP,yen,16,3450
20210531_MKY0654_04_Cell03_GFP,yen,18,2915
20210531_MKY0654_05_Cell01_GFP,yen,18,2925
20210531_MKY0654_05_Cell02_GFP,yen,19,4060
20210531_MKY0654_05_Cell03_GFP,yen,14,3933
20210531_MKY0654_06_Cell01_GFP,yen,21,4086
20210531_MKY0654_06_Cell02_GFP,yen,16,2635
20210531_MKY0654_06_Cell03_GFP,yen,14,1799
20210531_MKY0654_06_Cell04_GFP,yen,18,4613
20210531_MKY0654_07_Cell01_GFP,yen,12,3429
20210531_MKY0654_07_Cell02_GFP,yen,19,3153
20210531_MKY0654_07_Cell03_GFP,yen,10,3628
20210531_MKY0654_08_Cell01_GFP,yen,15,2305
20210531_MKY0654_08_Cell02_GFP,yen,13,3462
20210531_MKY0654_08_Cell03_GFP,yen,9,3641
20210531_MKY0654_08_Cell04_GFP,yen,16,4044
20210531_MKY0654_09_Cell01_GFP,yen,8,3275
20210531_MKY0654_09_Cell02_GFP,yen,14,2251
20210531_MKY0654_09_Cell03_GFP,yen,15,3580
20210531_MKY0654_10_Cell01_GFP,yen,16,3646
20210531_MKY0654_10_Cell02_GFP,yen,17,3957
20210531_MKY0654_10_Cell03_GFP,yen,19,2857
20210531_MKY0654_11_Cell01_GFP,yen,17,3241
20210531_MKY0654_11_Cell02_GFP,yen,9,3277
20210531_MKY0654_11_Cell03_GFP,yen,15,2495
20210531_MKY0654_12_Cell01_GFP,yen,31,4487
20210531_MKY0654_12_Cell02_GFP,yen,17,4126
20210531_MKY0654_12_Cell03_GFP,yen,16,2749
20210531_MKY0654_13_Cell01_GFP,yen,12,2200
20210531_MKY0654_13_Cell02_GFP,yen,13,3662
20210531_MKY0654_13_Cell03_GFP,yen,15,3840
20210531_MKY0654_13_Cell04_GFP,yen,14,3005
20210531_MKY0654_13_Cell05_GFP,yen,17,3157
20210531_MKY0654_14_Cell01_GFP,yen,13,3927
20210531_MKY0654_14_Cell02_GFP,yen,20,4082
20210531_MKY0654_14_Cell03_GFP,yen,15,3177
20210531_MKY0654_14_Cell04_GFP,yen,22,3336
20210531_MKY0654_15_Cell01_GFP,yen,32,4201
20210531_MKY0654_15_Cell02_GFP,yen,22,4381
20210531_MKY0654_15_Cell03_GFP,yen,11,3417
20210531_MKY4343R_01_Cell01_GFP,yen,17,3045
20210531_MKY4343R_01_Cell02_GFP,yen,21,3247
20210531_MKY4343R_02_Cell01_GFP,yen,29,3211
20210531_MKY4343R_02_Cell02_GFP,yen,20,3023
20210531_MKY4343R_03_Cell01_GFP,yen,12,2627
20210531_MKY4343R_03_Cell02_GFP,yen,24,3010
20210531_MKY4343R_03_Cell03_GFP,yen,14,3096
20210531_MKY4343R_03_Cell04_GFP,yen,12,2984
20210531_MKY4343R_04_Cell01_GFP,yen,18,3044
20210531_MKY4343R_04_Cell02_GFP,yen,18,2660
20210531_MKY4343R_05_Cell01_GFP,yen,20,3039
20210531_MKY4343R_05_Cell03_GFP,yen,27,4023
20210531_MKY4343R_05_Cell04_GFP,yen,23,3583
20210531_MKY4343R_06_Cell01_GFP,yen,21,3046
20210531_MKY4343R_06_Cell02_GFP,yen,24,3747
20210531_MKY4343R_07_Cell01_GFP,yen,23,3242
20210531_MKY4343R_07_Cell02_GFP,yen,25,3223
20210531_MKY4343R_07_Cell03_GFP,yen,19,3062
20210531_MKY4343R_08_Cell01_GFP,yen,17,3149
20210531_MKY4343R_08_Cell02_GFP,yen,18,2437
20210531_MKY4343R_08_Cell03_GFP,yen,14,2523
20210531_MKY4343R_08_Cell04_GFP,yen,19,3456
20210531_MKY4343R_09_Cell01_GFP,yen,16,2598
20210531_MKY4343R_09_Cell02_GFP,yen,19,3148
20210531_MKY4343R_09_Cell03_GFP,yen,9,3282
20210531_MKY4343R_10_Cell01_GFP,yen,16,2925
20210531_MKY4343R_10_Cell02_GFP,yen,19,2912
20210531_MKY4343R_10_Cell03_GFP,yen,9,3491
20210531_MKY4343R_11_Cell01_GFP,yen,11,2579
20210531_MKY4343R_11_Cell02_GFP,yen,13,2725
20210531_MKY4343R_11_Cell03_GFP,yen,21,2482
20210531_MKY4343R_11_Cell04_GFP,yen,18,2429
20210531_MKY4343R_12_Cell01_GFP,yen,24,3047
20210531_MKY4343R_12_Cell02_GFP,yen,20,3180
20210531_MKY4343R_12_Cell03_GFP,yen,17,2552
20210531_MKY4343R_12_Cell04_GFP,yen,13,2257
20210531_MKY4343R_13_Cell01_GFP,yen,18,2865
20210531_MKY4343R_13_Cell02_GFP,yen,24,3069
20210531_MKY4343R_13_Cell03_GFP,yen,11,3034
20210531_MKY4343R_14_Cell01_GFP,yen,21,3449
20210531_MKY4343R_14_Cell02_GFP,yen,14,3271
20210531_MKY4343R_14_Cell03_GFP,yen,15,2405
20210531_MKY4343R_15_Cell01_GFP,yen,29,3517
20210531_MKY4343R_15_Cell02_GFP,yen,9,2745
20210531_MKY4343R_15_Cell03_GFP,yen,18,2844
20210531_MKY4343R_15_Cell04_GFP,yen,24,3025
20210531_MKY4343R_16_Cell01_GFP,yen,13,2885
20210531_MKY4343R_16_Cell02_GFP,yen,19,2928
20210531_MKY4343R_16_Cell03_GFP,yen,13,3022
20210531_MKY4343R_17_Cell01_GFP,yen,16,2870
20210531_MKY4343R_17_Cell02_GFP,yen,15,3379
20210531_MKY4343R_17_Cell03_GFP,yen,8,3675
20210531_MKY4343R_18_Cell01_GFP,yen,11,3098
20210531_MKY4343R_18_Cell02_GFP,yen,21,3231
20210531_MKY4343R_18_Cell03_GFP,yen,20,2705
20210531_MKY4343_01_Cell01_GFP,yen,13,2719
20210531_MKY4343_01_Cell02_GFP,yen,19,3068
20210531_MKY4343_02_Cell01_GFP,yen,11,2980
20210531_MKY4343_02_Cell02_GFP,yen,10,2919
20210531_MKY4343_02_Cell03_GFP,yen,22,3209
20210531_MKY4343_02_Cell04_GFP,yen,15,2762
20210531_MKY4343_03_Cell01_GFP,yen,20,3187
20210531_MKY4343_03_Cell02_GFP,yen,11,3112
20210531_MKY4343_03_Cell03_GFP,yen,16,4883
20210531_MKY4343_04_Cell01_GFP,yen,13,3104
20210531_MKY4343_04_Cell02_GFP,yen,22,2967
20210531_MKY4343_04_Cell03_GFP,yen,10,2947
20210531_MKY4343_04_Cell04_GFP,yen,5,2635
20210531_MKY4343_05_Cell01_GFP,yen,15,3056
20210531_MKY4343_05_Cell02_GFP,yen,14,3545
20210531_MKY4343_05_Cell03_GFP,yen,13,2752
20210531_MKY4343_06_Cell01_GFP,yen,27,3455
20210531_MKY4343_06_Cell02_GFP,yen,21,3359
20210531_MKY4343_06_Cell03_GFP,yen,16,3788
20210531_MKY4343_07_Cell01_GFP,yen,16,2893
20210531_MKY4343_07_Cell02_GFP,yen,10,2677
20210531_MKY4343_07_Cell03_GFP,yen,14,2867
20210531_MKY4343_08_Cell01_GFP,yen,13,2029
20210531_MKY4343_08_Cell02_GFP,yen,16,3178
20210531_MKY4343_08_Cell03_GFP,yen,10,2489
20210531_MKY4343_08_Cell04_GFP,yen,26,3405
20210531_MKY4343_08_Cell05_GFP,yen,20,2951
20210531_MKY4343_09_Cell01_GFP,yen,15,2583
20210531_MKY4343_09_Cell02_GFP,yen,21,2855
20210531_MKY4343_09_Cell03_GFP,yen,19,3275
20210531_MKY4343_09_Cell04_GFP,yen,26,3203
20210531_MKY4343_10_Cell01_GFP,yen,20,2783
20210531_MKY4343_10_Cell02_GFP,yen,18,3769
20210531_MKY4343_10_Cell03_GFP,yen,17,3619
20210531_MKY4343_11_Cell01_GFP,yen,14,3235
20210531_MKY4343_11_Cell02_GFP,yen,11,3360
20210531_MKY4343_11_Cell03_GFP,yen,10,3325
20210531_MKY4343_12_Cell01_GFP,yen,21,3681
20210531_MKY4343_12_Cell02_GFP,yen,15,4223
20210531_MKY4343_12_Cell03_GFP,yen,10,3691
20210531_MKY4343_12_Cell04_GFP,yen,10,3268
20210531_MKY4343_13_Cell01_GFP,yen,21,3506
20210531_MKY4343_13_Cell02_GFP,yen,11,2904
20210531_MKY4343_13_Cell03_GFP,yen,21,3045
20210531_MKY4343_13_Cell04_GFP,yen,18,2610
20210531_MKY4343_14_Cell01_GFP,yen,12,3992
20210531_MKY4343_14_Cell02_GFP,yen,18,3015
20210531_MKY4343_14_Cell03_GFP,yen,11,3136
20210531_MKY4343_15_Cell01_GFP,yen,9,2944
20210531_MKY4343_15_Cell02_GFP,yen,14,3279
20210531_MKY4343_15_Cell03_GFP,yen,9,3080
20210531_MKY4343_15_Cell04_GFP,yen,19,2713
20210531_MKY4343_15_Cell05_GFP,yen,11,3463
20210531_MKY4343_15_Cell06_GFP,yen,7,2571
